Dates;time;number nodes
2016-06-03;nan;nan
2016-06-04;83.9586716;120.95
2016-07-01;21.3896076;127.05
2016-08-19;13.53775955;88.75
2016-11-18;13.53775955;88.75
2017-02-02;9.4139663;48.8
2017-07-20;5.4923083;39.9
2017-09-14;7.0171539;37.75
2017-11-11;8.88797555;59.25
2017-12-26;3.93865685;27.35
2018-03-07;4.4980611;32.15
2018-05-15;6.00437415;40.65
2018-05-22;3.37942505;21.05
2018-09-28;8.76262455;38.85
2019-03-13;3.90627385;30.85
2019-04-05;5.13099175;53.65
2019-04-12;4.91880895;51.0
2019-05-30;5.240196;58.85
2019-09-06;4.36113265;47.35
2019-09-13;5.8656883;70.5
2019-12-09;4.08857655;41.1
2020-03-12;3.9068156;50.15
2020-04-09;22.1883339;315.45
2020-04-10;4.23823205;44.75
2020-04-11;4.4257971;40.6
2020-05-08;4.67378805;49.95
2020-07-23;3.2954519;32.9
